BP;Bahnhof;Region;Kategorie;Fahrgastwechselzeit_IPV;Fahrgastwechselzeit_A;Fahrgastwechselzeit_B;Fahrgastwechselzeit_C;Fahrgastwechselzeit_D;Umsteigezeit;ZAZ;Labels;Erstellen;X;Y
AA;Aarau;Mitte;2;2;2;2;2;2;4;0.2;SBB;JA;-209.4991625;-427.021373
GD;Arth-Goldau;Sud;2;2;2;2;2;2;4;;;JA;951.9866035;758.834056
BEL;Bellinzona;Sud;2;2;2;2;2;2;4;;;JA;2121.053433;3728.103892
BR;Brig;Ouest;2;2;2;2;2;2;4;;;JA;-329.3652;3328.39752
BUE;Bülach;Ost;2;2;2;2;2;2;4;;;JA;898.8887195;-904.009981
CHI;Chiasso;Sud;2;2;2;2;2;2;7;;;JA;2150.55564;5000
CH;Chur;Ost;2;2;2;2;2;2;4;;;JA;3235.226062;1397.129247
FRI;Fribourg/Freiburg;Ouest;2;2;2;2;2;2;4;;;JA;-2286.192724;1637.608378
GE;Genève;Ouest;2;2;2;2;2;2;4;;;JA;-4663.358198;3689.447021
GEAP;Genève aéroport;Ouest;2;2;2;2;2;2;;;;JA;-4733.658091;3610.022432
IO;Interlaken Ost;Mitte;2;2;2;2;2;2;5;;;JA;-656.2338255;2058.391723
LQ;Landquart;Ost;2;2;2;2;2;2;4;;;JA;3283.056782;995.1229965
LG;Lugano;Sud;2;2;2;2;2;2;4;;;JA;1939.473284;4397.116645
OL;Olten;Mitte;2;2;2;2;2;2;5;;;JA;-538.742579;-286.602732
SG;St. Gallen;Ost;2;2;2;2;2;2;5;;;JA;2818.572081;-589.3046175
TH;Thun;Mitte;2;2;2;2;2;2;4;;;JA;-1173.572842;1807.484374
VI;Visp;Ouest;2;2;2;2;2;2;4;;;JA;-578.900898;3418.974947
WIL ;Wil  ;Ost;2;2;2;2;2;2;4;;;JA;2060.435379;-709.0873575
W;Winterthur;Ost;2;2;2;2;2;2;4;;;JA;1330.339474;-828.050963
ZG;Zug;Ost;2;2;2;2;2;2;4;;;JA;866.6159235;323.4007965
ZFH;Zürich Flughafen;Ost;2;3;3;3;3;3;4;;;JA;962.4904855;-647.2111605
