BP;Bahnhof;Region;Kategorie;Fahrgastwechselzeit_IPV;Fahrgastwechselzeit_A;Fahrgastwechselzeit_B;Fahrgastwechselzeit_C;Fahrgastwechselzeit_D;Umsteigezeit;ZAZ;Labels;Erstellen;X;Y
AD;Aadorf;Ost;4; ; ; ; ; ;;;;;;
AA;Aarau;Mitte;2;2;2;2;2;2;4;0.2;SBB;JA;-209.4991625;-427.021373
ABE;Aarberg;Mitte;4;;;;;;;;;;;
ABO;Aarburg-Oftringen;Mitte;4;;;;;;;;;;;
AAT;Aathal;Ost;4;;;;;;;;;;;
AEF;Aefligen;Mitte;5;;;;;;;;;;;
AE;Aesch;Mitte;4;;;;;;;;;;;
AF;Affoltern am Albis;Ost;3;;;;;;;;;;;
AGY;Agy;Ouest;4;;;;;;;;;;;
AIG;Aigle;Ouest;3;1.5;1.5;1.5;1.5;1.5;4;0.7;SBB,Kanton TI,;JA ;240;430
AI;Airolo;Sud;4;;;;;;;;;;;
ALL;Allaman;Ouest;4;;;;;;3;;;;;
AL;Altdorf;Sud;3;1.5;1.5;1.5;1.5;1.5;4;0.4;;;;
ALTD;Altendorf;Ost;4;;;;;;;;;;;
AT;Altmatt;Ost;HaV;;;;;;;;;;;
ALN;Altnau;Ost;HaV;;;;;;;;;;;
ALT;Altstätten SG;Ost;3;;;;;;;;;;;
AP;Ambri-Piotta;Sud;4;;;;;;;;;;;
AW;Amriswil;Ost;4;1.5;1.5;1.5;1.5;1.5;;0.2;;;;
AW;Amriswil;Ost;4;1.5;1.5;1.5;1.5;1.5;;0.2;;;;
AN;Andelfingen;Ost;4;;;;;;;;;;;
ARB;Arbon;Ost;4;;;;;;;;;;;
ARBS;Arbon Seemoosriet;Ost;5;;;;;;;;;;;
ARD;Ardon;Ouest;4;;;;;;;;;;;
ARN;Arnegg;Ost;4;;;;;;;;;;;
AX;Arnex;Ouest;5;;;;;;;;;;;
GD;Arth-Goldau;Sud;2;2;2;2;2;2;4;;;JA;951.9866035;758.834056
AUSG;Au SG;Ost;4;;;;;;;;;;;
AU;Au ZH;Ost;4;;;;;;;;;;;
AB;Ausserberg;Mitte;5;;;;;;;;;;;
AUV;Auvernier;Ouest;4;;;;;;;;;;;
AV;Avenches;Ouest;4;;;;;;;;;;;
AVRY;Avry;Ouest;4;;;;;;;;;;;
BAA;Baar;Ost;3;1.5;1.5;1.5;1.5;1.5;3;;;;;
BAAL;Baar Lindenpark;Ost;4;;;;;;;;;;;
BAAN;Baar Neufeld;Ost;4;;;;;;;;;;;
BAE;Bäch;Ost;4;;;;;;;;;;;
BRAG;Bad Ragaz;Ost;4;;;;;;;;;;;
ZZ;Bad Zurzach;Ost;4;;;;;;;;;;;
BD;Baden;Ost;3;1.5;1.5;1.5;1.5;1.5;4;;;;;
BLG;Baldegg;Mitte ;5;;;;;;;;;;;
BLGK;Baldegg Kloster;Mitte;5;;;;;;;;;;;
BAL;Balerna;Sud;4;;;;;;;;;;;
BLL;Ballwil;Mitte;5;;;;;;;;;;;
BRG;Bargen;Mitte ;5;;;;;;;;;;;
BS;Basel SBB;Mitte;1;3;3;3;3;3;5;;;JA;-1271.852641;-968.343583
BSDH;Basel SBB Dreispitz Haltestelle;Mitte;4;;;;;;;;;;;
BSMR;Basel Morgartenring;Mitte;4;;;;;;;;;;;
BSC;Bassecourt;Ouest;4;;;;;;;;;;;
BSD;Bassersdorf;Ost;3;;;;;;;;;;;
BMA;Bauma;Ost;4;;;;;;;;;;;
BAV;Bavois;Ouest;5;;;;;;;;;;;
BAZ;Bazenheid;Ost;4;;;;;;;;;;;
